[22:16:52] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:16:53] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:16:53] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:16:53] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:16:53] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:16:53] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:16:53] [ServerMain/INFO]: Reloading ResourceManager: Default
[22:16:55] [Worker-Main-2/INFO]: Loaded 7 recipes
[22:16:55] [Worker-Main-2/INFO]: Loaded 1141 advancements
[22:16:59] [Server thread/INFO]: Starting minecraft server version 1.18.1
[22:16:59] [Server thread/INFO]: Loading properties
[22:16:59] [Server thread/INFO]: Default game type: SURVIVAL
[22:16:59] [Server thread/INFO]: Generating keypair
[22:16:59] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:16:59] [Server thread/INFO]: Using epoll channel type
[22:17:00] [Server thread/INFO]: Preparing level "world"
[22:17:48] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:49] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:49] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:50] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:50] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:51] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:51] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:55] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:55] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:18:29] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[22:18:30] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[22:18:30] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[22:18:31] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[22:18:31] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[22:18:32] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[22:18:32] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[22:18:33] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[22:18:33] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[22:18:34] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[22:18:34] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[22:18:35] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[22:18:37] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[22:18:37] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[22:18:37] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[22:18:37] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[22:18:37] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[22:18:39] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[22:18:39] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[22:18:39] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[22:18:39] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[22:18:41] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[22:18:41] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[22:18:42] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[22:18:42] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[22:18:42] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[22:18:42] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[22:18:44] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[22:18:44] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[22:18:44] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[22:18:45] [Worker-Main-2/INFO]: Preparing spawn area: 84%
[22:18:45] [Worker-Main-2/INFO]: Preparing spawn area: 84%
[22:18:46] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[22:18:46] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[22:18:46] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[22:18:49] [Server thread/INFO]: Time elapsed: 93945 ms
[22:18:49] [Server thread/INFO]: Done (109.548s)! For help, type "help"
[22:18:49] [Server thread/INFO]: Unknown or incomplete command, see below for error
[22:18:49] [Server thread/INFO]: <--[HERE]
[22:23:36] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: Input/output error
	at java.io.FileInputStream.readBytes(Native Method) ~[?:?]
	at java.io.FileInputStream.read(FileInputStream.java:276) ~[?:?]
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:282) ~[?:?]
	at java.io.BufferedInputStream.read(BufferedInputStream.java:343) ~[?:?]
	at sun.nio.cs.StreamDecoder.readBytes(StreamDecoder.java:270) ~[?:?]
	at sun.nio.cs.StreamDecoder.implRead(StreamDecoder.java:313) ~[?:?]
	at sun.nio.cs.StreamDecoder.read(StreamDecoder.java:188) ~[?:?]
	at java.io.InputStreamReader.read(InputStreamReader.java:177) ~[?:?]
	at java.io.BufferedReader.fill(BufferedReader.java:162) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:329) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:396) ~[?:?]
	at acj$1.run(SourceFile:101) [server-1.18.1.jar:?]
